season,player,player_full,position,appearances
2014/2015,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,18
2014/2015,Luis Suárez,Luis Alberto Suárez Díaz,Center Forward,23
2014/2015,Ivan Rakitić,Ivan Rakitić,Right Center Midfield,17
2014/2015,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,24
2014/2015,Javier Mascherano,Javier Alejandro Mascherano,Center Defensive Midfield,8
2014/2015,Jérémy Mathieu,Jérémy Mathieu,Left Center Back,20
2014/2015,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,27
2014/2015,Ivan Rakitić,Ivan Rakitić,Left Center Midfield,6
2014/2015,Xavi,Xavier Hernández Creus,Right Center Midfield,10
2014/2015,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,7
2014/2015,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,1
2014/2015,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,13
2014/2015,Marc Bartra,Marc Bartra Aregall,Left Center Back,7
2014/2015,Douglas Pereira,Douglas Pereira dos Santos,Right Back,1
2014/2015,Rafinha,Rafael Alcântara do Nascimento,Right Center Midfield,9
2014/2015,Marc Bartra,Marc Bartra Aregall,Right Center Back,4
2014/2015,Xavi,Xavier Hernández Creus,Left Center Midfield,9
2014/2015,Adriano,Adriano Correia Claro,Left Back,8
2014/2015,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,8
2014/2015,Munir El Haddadi,Munir El Haddadi Mohamed,Right Wing,4
2014/2015,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,6
2014/2015,Pedro,Pedro Eliezer Rodríguez Ledesma,Center Forward,2
2014/2015,Thomas Vermaelen,Thomas Vermaelen,Left Center Back,1
2014/2015,Sergi Roberto,Sergi Roberto Carnicer,Center Defensive Midfield,3
2014/2015,Jérémy Mathieu,Jérémy Mathieu,Left Back,3
2014/2015,Jordi Masip,Jordi Masip López,Goalkeeper,1
2014/2015,Adriano,Adriano Correia Claro,Right Back,2
2014/2015,Martín Montoya,Martín Montoya Torralbo,Right Back,6
2014/2015,Luis Suárez,Luis Alberto Suárez Díaz,Right Wing,2
2014/2015,Rafinha,Rafael Alcântara do Nascimento,Left Center Midfield,3
2014/2015,Sergi Roberto,Sergi Roberto Carnicer,Left Center Midfield,1
2014/2015,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,10
2014/2015,Munir El Haddadi,Munir El Haddadi Mohamed,Left Wing,3
2014/2015,Sergio Busquets,Sergio Busquets i Burgos,Left Center Midfield,1
2014/2015,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,1
2014/2015,Rafinha,Rafael Alcântara do Nascimento,Right Wing,1
2013/2014,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Wing,18
2013/2014,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,14
2013/2014,Dani Alves,Daniel Alves da Silva,Right Back,24
2013/2014,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,25
2013/2014,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,15
2013/2014,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,28
2013/2014,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,22
2013/2014,Marc Bartra,Marc Bartra Aregall,Right Center Back,10
2013/2014,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2013/2014,Adriano,Adriano Correia Claro,Left Back,19
2013/2014,José Manuel Pinto,José Manuel Pinto Colorado,Goalkeeper,8
2013/2014,Neymar,Neymar da Silva Santos Junior,Left Wing,14
2013/2014,Jordi Alba,Jordi Alba Ramos,Left Back,10
2013/2014,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,15
2013/2014,Cristian Tello,Cristian Tello Herrera,Right Wing,1
2013/2014,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,23
2013/2014,Cesc Fàbregas,Francesc Fàbregas i Soler,Right Center Midfield,7
2013/2014,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,9
2013/2014,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Center Midfield,11
2013/2014,Martín Montoya,Martín Montoya Torralbo,Right Back,6
2013/2014,Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,Center Defensive Midfield,6
2013/2014,Sergio Busquets,Sergio Busquets i Burgos,Right Center Back,1
2013/2014,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,3
2013/2014,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,4
2013/2014,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,5
2013/2014,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,2
2013/2014,Marc Bartra,Marc Bartra Aregall,Left Center Back,3
2013/2014,Xavi,Xavier Hernández Creus,Left Center Midfield,4
2013/2014,Adriano,Adriano Correia Claro,Right Back,1
2013/2014,Cesc Fàbregas,Francesc Fàbregas i Soler,Center Forward,2
2013/2014,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,1
2013/2014,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,2
2013/2014,Martín Montoya,Martín Montoya Torralbo,Left Back,2
2013/2014,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Center Forward,1
2013/2014,Cesc Fàbregas,Francesc Fàbregas i Soler,Center Attacking Midfield,1
2013/2014,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Center Forward,1
2013/2014,Neymar,Neymar da Silva Santos Junior,Right Wing,1
2013/2014,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,1
2013/2014,Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,Right Center Midfield,1
2013/2014,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Left Wing,1
2013/2014,Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,Left Center Midfield,1
2012/2013,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Left Wing,4
2012/2013,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,18
2012/2013,Dani Alves,Daniel Alves da Silva,Right Back,21
2012/2013,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,20
2012/2013,Thiago Alcântara,Thiago Alcântara do Nascimento,Left Center Midfield,6
2012/2013,Jordi Alba,Jordi Alba Ramos,Left Back,24
2012/2013,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,17
2012/2013,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,27
2012/2013,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,12
2012/2013,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2012/2013,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,26
2012/2013,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Wing,10
2012/2013,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Center Midfield,17
2012/2013,Thiago Alcântara,Thiago Alcântara do Nascimento,Right Center Midfield,4
2012/2013,David Villa,David Villa Sánchez,Left Wing,10
2012/2013,Adriano,Adriano Correia Claro,Left Back,5
2012/2013,Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,Right Center Back,3
2012/2013,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,6
2012/2013,Cristian Tello,Cristian Tello Herrera,Left Wing,7
2012/2013,David Villa,David Villa Sánchez,Center Forward,2
2012/2013,Adriano,Adriano Correia Claro,Left Center Back,4
2012/2013,José Manuel Pinto,José Manuel Pinto Colorado,Goalkeeper,5
2012/2013,Alexandre Dimitri Song-Billong,Alexandre Dimitri Song-Billong,Center Defensive Midfield,10
2012/2013,Sergio Busquets,Sergio Busquets i Burgos,Right Center Back,2
2012/2013,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,5
2012/2013,Xavi,Xavier Hernández Creus,Center Defensive Midfield,1
2012/2013,Adriano,Adriano Correia Claro,Right Back,6
2012/2013,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,8
2012/2013,Cristian Tello,Cristian Tello Herrera,Right Wing,2
2012/2013,Cesc Fàbregas,Francesc Fàbregas i Soler,Right Center Midfield,4
2012/2013,Martín Montoya,Martín Montoya Torralbo,Right Back,4
2012/2013,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,9
2012/2013,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,6
2012/2013,Martín Montoya,Martín Montoya Torralbo,Left Back,2
2012/2013,Marc Bartra,Marc Bartra Aregall,Right Center Back,1
2012/2013,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,3
2012/2013,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,6
2012/2013,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,2
2012/2013,Xavi,Xavier Hernández Creus,Left Center Midfield,2
2012/2013,Cesc Fàbregas,Francesc Fàbregas i Soler,Center Forward,2
2012/2013,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Center Back,1
2012/2013,David Villa,David Villa Sánchez,Right Wing,1
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Wing,10
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Right Center Midfield,5
2011/2012,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,4
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,20
2011/2012,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,9
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,8
2011/2012,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,30
2011/2012,Martín Montoya,Martín Montoya Torralbo,Right Back,3
2011/2012,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,9
2011/2012,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,34
2011/2012,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,10
2011/2012,Dani Alves,Daniel Alves da Silva,Right Back,22
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Right Center Midfield,7
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,3
2011/2012,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,13
2011/2012,David Villa,David Villa Sánchez,Right Wing,1
2011/2012,Xavi,Xavier Hernández Creus,Left Center Midfield,9
2011/2012,Seydou Kéita,Seydou Kéita,Center Defensive Midfield,6
2011/2012,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Center Back,8
2011/2012,Adriano,Adriano Correia Claro,Left Back,11
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Left Wing,4
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Center Midfield,6
2011/2012,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,10
2011/2012,Javier Mascherano,Javier Alejandro Mascherano,Left Center Back,11
2011/2012,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,12
2011/2012,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,4
2011/2012,Xavi,Xavier Hernández Creus,Right Center Midfield,11
2011/2012,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Back,4
2011/2012,Isaac Cuenca,Juan Isaac Cuenca López,Right Wing,2
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Wing,2
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,5
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Center Attacking Midfield,6
2011/2012,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing Back,3
2011/2012,Dani Alves,Daniel Alves da Silva,Right Center Back,2
2011/2012,Javier Mascherano,Javier Alejandro Mascherano,Center Back,3
2011/2012,Isaac Cuenca,Juan Isaac Cuenca López,Right Wing Back,4
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Left Center Midfield,10
2011/2012,Jonathan dos Santos,Jonathan dos Santos Ramírez,Center Defensive Midfield,1
2011/2012,Cristian Tello,Cristian Tello Herrera,Left Wing,2
2011/2012,David Villa,David Villa Sánchez,Left Wing,5
2011/2012,Adriano,Adriano Correia Claro,Left Wing,1
2011/2012,Dani Alves,Daniel Alves da Silva,Right Wing Back,3
2011/2012,Gerard Piqué,Gerard Piqué Bernabéu,Center Back,3
2011/2012,Adriano,Adriano Correia Claro,Left Wing Back,2
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Left Center Back,1
2011/2012,Xavi,Xavier Hernández Creus,Center Defensive Midfield,2
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Left Center Forward,2
2011/2012,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing Back,1
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,2
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Right Defensive Midfield,1
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Left Wing Back,2
2011/2012,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,3
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Center Attacking Midfield,1
2011/2012,Cristian Tello,Cristian Tello Herrera,Left Wing Back,1
2011/2012,Adriano,Adriano Correia Claro,Left Center Back,3
2011/2012,Seydou Kéita,Seydou Kéita,Right Center Midfield,4
2011/2012,Isaac Cuenca,Juan Isaac Cuenca López,Left Wing,3
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Center Defensive Midfield,1
2011/2012,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Attacking Midfield,1
2011/2012,Dani Alves,Daniel Alves da Silva,Right Attacking Midfield,1
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,2
2011/2012,Xavi,Xavier Hernández Creus,Right Wing Back,1
2011/2012,Seydou Kéita,Seydou Kéita,Left Wing Back,1
2011/2012,Éric Abidal,Eric-Sylvain Bilal Abidal,Center Back,2
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Left Wing Back,2
2011/2012,Carles Puyol,Carles Puyol i Saforcada,Center Back,2
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Center Forward,2
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Right Center Back,1
2011/2012,Andreu Fontàs,Andreu Fontàs Prat,Left Center Back,1
2011/2012,José Manuel Pinto,José Manuel Pinto Colorado,Goalkeeper,3
2011/2012,Adriano,Adriano Correia Claro,Right Back,1
2011/2012,Ibrahim Afellay,Ibrahim Afellay,Left Wing,1
2011/2012,Seydou Kéita,Seydou Kéita,Left Center Midfield,2
2011/2012,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,2
2011/2012,Cesc Fàbregas,Francesc Fàbregas i Soler,Left Attacking Midfield,1
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Right Defensive Midfield,1
2011/2012,Andrés Iniesta,Andrés Iniesta Luján,Right Attacking Midfield,1
2011/2012,Xavi,Xavier Hernández Creus,Left Defensive Midfield,1
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Center Forward,1
2011/2012,Javier Mascherano,Javier Alejandro Mascherano,Center Defensive Midfield,2
2011/2012,Sergi Roberto,Sergi Roberto Carnicer,Right Center Midfield,1
2011/2012,Sergio Busquets,Sergio Busquets i Burgos,Center Back,1
2011/2012,Thiago Alcântara,Thiago Alcântara do Nascimento,Right Wing Back,1
2011/2012,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1
2011/2012,David Villa,David Villa Sánchez,Center Forward,1
2011/2012,Adriano,Adriano Correia Claro,Left Midfield,1
2011/2012,Isaac Cuenca,Juan Isaac Cuenca López,Right Midfield,1
2011/2012,Xavi,Xavier Hernández Creus,Center Attacking Midfield,1
2011/2012,David Villa,David Villa Sánchez,Left Center Forward,1
2011/2012,Alexis Sánchez,Alexis Alejandro Sánchez Sánchez,Right Wing Back,1
2010/2011,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,16
2010/2011,Dani Alves,Daniel Alves da Silva,Right Back,26
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,18
2010/2011,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,22
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,16
2010/2011,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,20
2010/2011,David Villa,David Villa Sánchez,Left Wing,16
2010/2011,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2010/2011,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,28
2010/2011,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Center Back,11
2010/2011,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Back,16
2010/2011,Ibrahim Afellay,Ibrahim Afellay,Left Wing,4
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Right Center Back,1
2010/2011,Thiago Alcântara,Thiago Alcântara do Nascimento,Right Center Midfield,2
2010/2011,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,5
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Right Wing,1
2010/2011,Javier Mascherano,Javier Alejandro Mascherano,Center Defensive Midfield,13
2010/2011,David Villa,David Villa Sánchez,Center Forward,10
2010/2011,Seydou Kéita,Seydou Kéita,Left Center Midfield,6
2010/2011,Adriano,Adriano Correia Claro,Left Back,4
2010/2011,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,8
2010/2011,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,9
2010/2011,Javier Mascherano,Javier Alejandro Mascherano,Right Center Back,3
2010/2011,Gabriel Milito,Gabriel Alejandro Milito,Left Center Back,7
2010/2011,Jeffrén,Jeffren Isaac Suárez Bermúdez,Right Wing,2
2010/2011,Bojan,Bojan Krkíc Pérez,Right Wing,1
2010/2011,Thiago Alcântara,Thiago Alcântara do Nascimento,Left Center Midfield,2
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,3
2010/2011,José Manuel Pinto,José Manuel Pinto Colorado,Goalkeeper,5
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,8
2010/2011,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,7
2010/2011,Xavi,Xavier Hernández Creus,Left Center Midfield,8
2010/2011,Adriano,Adriano Correia Claro,Right Back,4
2010/2011,Bojan,Bojan Krkíc Pérez,Left Wing,3
2010/2011,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,8
2010/2011,Seydou Kéita,Seydou Kéita,Right Center Midfield,4
2010/2011,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Center Forward,2
2010/2011,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,3
2010/2011,David Villa,David Villa Sánchez,Left Center Forward,2
2010/2011,Martín Montoya,Martín Montoya Torralbo,Right Back,1
2010/2011,Andreu Fontàs,Andreu Fontàs Prat,Left Back,2
2010/2011,Seydou Kéita,Seydou Kéita,Center Defensive Midfield,1
2010/2011,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,4
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Left Center Back,1
2010/2011,Dani Alves,Daniel Alves da Silva,Right Wing Back,2
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Center Back,1
2010/2011,Adriano,Adriano Correia Claro,Left Wing Back,1
2010/2011,David Villa,David Villa Sánchez,Right Wing,1
2010/2011,Bojan,Bojan Krkíc Pérez,Center Forward,1
2010/2011,Sergio Busquets,Sergio Busquets i Burgos,Right Defensive Midfield,1
2010/2011,Gerard Piqué,Gerard Piqué Bernabéu,Center Back,1
2010/2011,Andrés Iniesta,Andrés Iniesta Luján,Left Wing Back,1
2010/2011,Seydou Kéita,Seydou Kéita,Left Defensive Midfield,1
2010/2011,Andreu Fontàs,Andreu Fontàs Prat,Left Center Back,1
2010/2011,Ibrahim Afellay,Ibrahim Afellay,Right Wing,1
2009/2010,Zlatan Ibrahimović,Zlatan Ibrahimović,Center Forward,20
2009/2010,Dani Alves,Daniel Alves da Silva,Right Back,24
2009/2010,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,21
2009/2010,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,8
2009/2010,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,7
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,22
2009/2010,Thierry Henry,Thierry Henry,Left Wing,10
2009/2010,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,10
2009/2010,Xavi,Xavier Hernández Creus,Right Center Midfield,16
2009/2010,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,35
2009/2010,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,14
2009/2010,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,11
2009/2010,Bojan,Bojan Krkíc Pérez,Left Wing,3
2009/2010,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,18
2009/2010,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,8
2009/2010,Xavi,Xavier Hernández Creus,Left Center Midfield,12
2009/2010,Seydou Kéita,Seydou Kéita,Right Center Midfield,10
2009/2010,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Back,20
2009/2010,Pedro,Pedro Eliezer Rodríguez Ledesma,Left Wing,10
2009/2010,Bojan,Bojan Krkíc Pérez,Center Forward,6
2009/2010,Seydou Kéita,Seydou Kéita,Left Center Midfield,11
2009/2010,Yaya Touré,Gnégnéri Yaya Touré,Right Center Midfield,2
2009/2010,Gabriel Milito,Gabriel Alejandro Milito,Left Center Back,9
2009/2010,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,8
2009/2010,Dmytro Chygrynskiy,Dmytro Chygrynskiy,Left Center Back,9
2009/2010,Carles Puyol,Carles Puyol i Saforcada,Right Back,9
2009/2010,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,9
2009/2010,Jeffrén,Jeffren Isaac Suárez Bermúdez,Left Wing,2
2009/2010,Rafael Márquez,Rafael Márquez Álvarez,Left Center Back,1
2009/2010,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,1
2009/2010,Yaya Touré,Gnégnéri Yaya Touré,Left Center Midfield,3
2009/2010,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,6
2009/2010,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,4
2009/2010,Dani Alves,Daniel Alves da Silva,Right Wing,1
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Forward,5
2009/2010,Seydou Kéita,Seydou Kéita,Center Defensive Midfield,1
2009/2010,Jeffrén,Jeffren Isaac Suárez Bermúdez,Right Back,1
2009/2010,Thierry Henry,Thierry Henry,Center Forward,3
2009/2010,Dmytro Chygrynskiy,Dmytro Chygrynskiy,Right Center Back,1
2009/2010,Jeffrén,Jeffren Isaac Suárez Bermúdez,Right Wing,2
2009/2010,Maxwell,Maxwell Scherrer Cabelino Andrade,Right Back,1
2009/2010,Carles Puyol,Carles Puyol i Saforcada,Left Back,1
2009/2010,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Wing,1
2009/2010,Sergio Busquets,Sergio Busquets i Burgos,Left Center Midfield,1
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Center Attacking Midfield,1
2009/2010,Yaya Touré,Gnégnéri Yaya Touré,Right Defensive Midfield,1
2009/2010,Bojan,Bojan Krkíc Pérez,Left Center Forward,1
2009/2010,Sergio Busquets,Sergio Busquets i Burgos,Left Defensive Midfield,1
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Forward,1
2009/2010,Maxwell,Maxwell Scherrer Cabelino Andrade,Left Midfield,1
2009/2010,Jeffrén,Jeffren Isaac Suárez Bermúdez,Right Midfield,1
2009/2010,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Center Midfield,1
2008/2009,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,18
2008/2009,Dani Alves,Daniel Alves da Silva,Right Back,28
2008/2009,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,27
2008/2009,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,17
2008/2009,Eiður Guðjohnsen,Eiður Smári Guðjohnsen,Left Center Midfield,7
2008/2009,Thierry Henry,Thierry Henry,Left Wing,18
2008/2009,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,26
2008/2009,Carles Puyol,Carles Puyol i Saforcada,Left Center Back,12
2008/2009,Xavi,Xavier Hernández Creus,Right Center Midfield,18
2008/2009,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,31
2008/2009,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,20
2008/2009,Sergio Busquets,Sergio Busquets i Burgos,Center Defensive Midfield,13
2008/2009,Gerard Piqué,Gerard Piqué Bernabéu,Left Center Back,11
2008/2009,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,11
2008/2009,Carles Puyol,Carles Puyol i Saforcada,Right Back,3
2008/2009,Sergio Busquets,Sergio Busquets i Burgos,Right Center Midfield,3
2008/2009,Carles Puyol,Carles Puyol i Saforcada,Left Back,5
2008/2009,Xavi,Xavier Hernández Creus,Left Center Midfield,12
2008/2009,Andrés Iniesta,Andrés Iniesta Luján,Left Center Midfield,3
2008/2009,Gerard Piqué,Gerard Piqué Bernabéu,Right Center Back,10
2008/2009,Rafael Márquez,Rafael Márquez Álvarez,Left Center Back,3
2008/2009,Sylvinho,Sylvio Mendes Campos Junior,Left Back,6
2008/2009,Thierry Henry,Thierry Henry,Center Forward,3
2008/2009,Samuel Eto'o,Samuel Eto''o Fils,Right Wing,1
2008/2009,Martín Cáceres,José Martín Cáceres Silva,Left Center Back,5
2008/2009,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,4
2008/2009,Seydou Kéita,Seydou Kéita,Left Center Midfield,9
2008/2009,Pedro,Pedro Eliezer Rodríguez Ledesma,Right Wing,2
2008/2009,Seydou Kéita,Seydou Kéita,Right Center Midfield,4
2008/2009,Bojan,Bojan Krkíc Pérez,Center Forward,2
2008/2009,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,6
2008/2009,Aleksandr Hleb,Aliaksandr Hleb,Right Wing,1
2008/2009,Aleksandr Hleb,Aliaksandr Hleb,Left Wing,2
2007/2008,Yaya Touré,Gnégnéri Yaya Touré,Center Defensive Midfield,16
2007/2008,Andrés Iniesta,Andrés Iniesta Luján,Left Wing,5
2007/2008,Lionel Messi,Lionel Andrés Messi Cuccittini,Right Wing,21
2007/2008,Lilian Thuram,Lilian Thuram,Right Center Back,10
2007/2008,Thierry Henry,Thierry Henry,Center Forward,12
2007/2008,Deco,Anderson Luís de Souza,Left Center Midfield,10
2007/2008,Xavi,Xavier Hernández Creus,Right Center Midfield,12
2007/2008,Víctor Valdés,Víctor Valdés Arribas,Goalkeeper,26
2007/2008,Éric Abidal,Eric-Sylvain Bilal Abidal,Left Back,22
2007/2008,Oleguer,Oleguer Presas Renom,Right Back,5
2007/2008,Gabriel Milito,Gabriel Alejandro Milito,Left Center Back,20
2007/2008,Andrés Iniesta,Andrés Iniesta Luján,Center Defensive Midfield,2
2007/2008,Carles Puyol,Carles Puyol i Saforcada,Right Center Back,10
2007/2008,Ronaldinho,Ronaldo de Assis Moreira,Left Wing,10
2007/2008,Rafael Márquez,Rafael Márquez Álvarez,Right Center Back,8
2007/2008,Gianluca Zambrotta,Gianluca Zambrotta,Right Back,18
2007/2008,Oleguer,Oleguer Presas Renom,Left Center Back,2
2007/2008,Andrés Iniesta,Andrés Iniesta Luján,Right Center Midfield,12
2007/2008,Samuel Eto'o,Samuel Eto''o Fils,Center Forward,8
2007/2008,Xavi,Xavier Hernández Creus,Left Center Midfield,10
